9xtHahMAAAAJ	Xin He	Low power design, Approximate computing, Computer vision	N/A	N
PUnHU8UAAAAJ	Sae Kyu Lee	N/A	N/A	N
IR0yJB8AAAAJ	Gu-Yeon Wei	integrated circuits, computer architecture	N/A	N
WZ0030cAAAAJ	Alyssa Apsel	N/A	N/A	N
vXHA_XYAAAAJ	David Brooks	Computer Architecture	N/A	N
OjHwJN0AAAAJ	Shen Zeng	Control Theory, Applied Mathematics	ESE	Y
RBQ_K40AAAAJ	Su Huang	electrooptic polymers, photovoltaic cells, photonics, processing, device fabrication	ESE	Y
HQeEzR0AAAAJ	William D. Richard	Ultrasonic Imaging	CS	Y
nk3OcBoAAAAJ	Eric Leuthardt	Brain Computer Interface, Cortical Physiology, ECoG, Electrocorticography, Resting State MRI	N/A	N
Cgx9W6UAAAAJ	Jonathan Turner	Networking, algorithms, switching systems, routers, data communications	CS	Y
_5tjpG0AAAAJ	Eileen Kraemer	Human aspects of software development, human aspects of bioinformatics	N/A	N
JQsX7rAAAAAJ	giuseppe bianchi	networking, wireless networks, network security	N/A	N
bYlFzsYAAAAJ	Kohei Shiomoto	Internet, traffic analysis, optical networking, network management	N/A	N
pkjoANMAAAAJ	Michela Becchi	parallel computing, heterogeneous computing, runtime systems, networking systems, algorithm acceleration	N/A	N
-N-_kgsAAAAJ	Brandon Heller	Networks, Energy, Data Centers, Software-Defined Networks	N/A	N
SHb2ZlMAAAAJ	Dan Lenoski	Networking, Computer Architecture, Multiprocessors, Fault Tolerance	N/A	N
hiGGy0kAAAAJ	Sergey Gorinsky	computer networks, distributed systems, network economics	N/A	N
rnR3JrYAAAAJ	George Varghese	Networking	N/A	N
