Id1	Id2	Count
F6tblNcAAAAJ	XLU7AuYAAAAJ	1
8iQk0DIAAAAJ	cPmMoXoAAAAJ	1
Viv2E9AAAAAJ	vJ1MBM4AAAAJ	3
upREfesAAAAJ	Z_jPrx8AAAAJ	1
2X6fAZgAAAAJ	07ds-DAAAAAJ	1
6k7bp8IAAAAJ	cPmMoXoAAAAJ	1
HhKyc4EAAAAJ	GBGCjpQAAAAJ	1
d6vuvHIAAAAJ	36SCzI0AAAAJ	1
rr944LsAAAAJ	ftAplLUAAAAJ	1
snf71h4AAAAJ	Qhe5ua0AAAAJ	5
l9QQeHgAAAAJ	0jtFgaAAAAAJ	7
LiLwnssAAAAJ	WZ-h67UAAAAJ	2
owqUYWMAAAAJ	_QU1opsAAAAJ	4
8VfMkGsAAAAJ	sr1HGtUAAAAJ	1
jtOKGpIAAAAJ	5P3knO0AAAAJ	2
55pOyCkAAAAJ	mQ4jIssAAAAJ	1
--RZd-sAAAAJ	tyYtUNIAAAAJ	19
L-pC28sAAAAJ	XfYRqF4AAAAJ	2
cA28Zs0AAAAJ	yxUduqMAAAAJ	2
YBQai3gAAAAJ	YOVZiJkAAAAJ	5
10iNskYAAAAJ	nfeNsaoAAAAJ	77
DLVFrFAAAAAJ	1guy5W4AAAAJ	4
2X6fAZgAAAAJ	HgaNy9kAAAAJ	1
8Kk2MugAAAAJ	OcAOpSUAAAAJ	3
qoFYHTMAAAAJ	JSFmVQEAAAAJ	1
kSuuj6UAAAAJ	ftAplLUAAAAJ	1
_VsL6mAAAAAJ	lELCubQAAAAJ	2
H4TdGyYAAAAJ	z8NwFvcAAAAJ	4
f2x233wAAAAJ	YOVZiJkAAAAJ	1
nM77MX0AAAAJ	MCClSvsAAAAJ	28
vuKTnnsAAAAJ	0pp-L_IAAAAJ	1
fzSHXS8AAAAJ	nM77MX0AAAAJ	26
NFmCFlsAAAAJ	9PVNjbgAAAAJ	2
YtFi-KkAAAAJ	CWj6pVcAAAAJ	2
PLKoRXsAAAAJ	UcbMN8QAAAAJ	5
iNANm-sAAAAJ	vJ1MBM4AAAAJ	2
zZO9qG4AAAAJ	yxUduqMAAAAJ	2
6_oL_9IAAAAJ	nM77MX0AAAAJ	6
vm1u2DEAAAAJ	P5eWdgsAAAAJ	1
9s9o-JcAAAAJ	Da-s1FQAAAAJ	5
wY-Wy6IAAAAJ	33CH6WUAAAAJ	1
